outcome,cause,model,time_window,contrast,group,coefficient,standard_error,HR,CI95_lower,CI95_upper
readmission_90d,target,Model 2,0_30_days,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,2_primary_psych_no_delirium,0.023552343264368288,0.04151933317802902,1.023831890047387,0.9438145817521237,1.110633125769299
readmission_90d,target,Model 2,30_90_days,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,2_primary_psych_no_delirium,0.18609181579255343,0.057223938419650074,1.2045328504389146,1.0767345504043337,1.3474996109687918
readmission_90d,target,Model 2,0_30_days,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,3_no_primary_psych_delirium,0.07294725435426061,0.04365050434296956,1.0756737983092626,0.987471410362154,1.171754552311262
readmission_90d,target,Model 2,30_90_days,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,3_no_primary_psych_delirium,0.17094912907455312,0.0608455542452191,1.1864303926744795,1.0530511871550794,1.3367033757062985
readmission_90d,target,Model 2,0_30_days,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,4_primary_psych_delirium,0.02188866173482467,0.05349497148075318,1.0221299759566278,0.9203865976501578,1.1351204922110454
readmission_90d,target,Model 2,30_90_days,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,4_primary_psych_delirium,0.17305615090292675,0.07383392787731716,1.188932862863529,1.0287470981618947,1.374061083547682
readmission_90d,competing_death,Model 2,0_30_days,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,2_primary_psych_no_delirium,0.10630974607968954,0.09954173456967423,1.1121663123151586,0.9150358321288046,1.3517655405592746
readmission_90d,competing_death,Model 2,30_90_days,2_primary_psych_no_delirium vs 1_no_primary_psych_no_delirium,2_primary_psych_no_delirium,0.17745658665470687,0.12810067502276637,1.1941762135927987,0.9290239720194011,1.5350054165029152
readmission_90d,competing_death,Model 2,0_30_days,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,3_no_primary_psych_delirium,0.6797413359455153,0.08069066806079869,1.9733672270406895,1.684700202393685,2.3114962574499995
readmission_90d,competing_death,Model 2,30_90_days,3_no_primary_psych_delirium vs 1_no_primary_psych_no_delirium,3_no_primary_psych_delirium,0.3974613684515036,0.11111738345560104,1.488042307477859,1.196823898707502,1.8501217357334776
readmission_90d,competing_death,Model 2,0_30_days,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,4_primary_psych_delirium,0.7364880358774262,0.09452530937690383,2.0885875745673212,1.735366151563857,2.5137047030137882
readmission_90d,competing_death,Model 2,30_90_days,4_primary_psych_delirium vs 1_no_primary_psych_no_delirium,4_primary_psych_delirium,0.2737337010155223,0.1428797829898357,1.314864608502706,0.9937091968356908,1.7398137646288099
